




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (42)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
T cell receptor V(D)J recombination (GO:0033153)	5	2	.01	+	 > 100	8.44E-05	2.67E-03
regulation of midbrain dopaminergic neuron differentiation (GO:1904956)	5	2	.01	+	 > 100	8.44E-05	2.67E-03
Notch signaling involved in heart development (GO:0061314)	10	4	.02	+	 > 100	1.46E-08	1.24E-06
hair follicle placode formation (GO:0060789)	5	2	.01	+	 > 100	8.44E-05	2.66E-03
fungiform papilla morphogenesis (GO:0061197)	5	2	.01	+	 > 100	8.44E-05	2.66E-03
somatic recombination of T cell receptor gene segments (GO:0002681)	5	2	.01	+	 > 100	8.44E-05	2.65E-03
regulation of inner ear receptor cell differentiation (GO:2000980)	8	3	.02	+	 > 100	1.28E-06	6.82E-05
regulation of mechanoreceptor differentiation (GO:0045631)	8	3	.02	+	 > 100	1.28E-06	6.80E-05
regulation of inner ear auditory receptor cell differentiation (GO:0045607)	8	3	.02	+	 > 100	1.28E-06	6.78E-05
dorsal aorta morphogenesis (GO:0035912)	8	3	.02	+	 > 100	1.28E-06	6.75E-05
atrioventricular valve formation (GO:0003190)	8	3	.02	+	 > 100	1.28E-06	6.73E-05
negative regulation of cell adhesion molecule production (GO:0060354)	6	2	.01	+	 > 100	1.12E-04	3.44E-03
Notch receptor processing (GO:0007220)	9	3	.02	+	 > 100	1.70E-06	8.61E-05
neural plate development (GO:0001840)	9	3	.02	+	 > 100	1.70E-06	8.59E-05
mesenchymal cell development (GO:0014031)	6	2	.01	+	 > 100	1.12E-04	3.43E-03
gamma-delta T cell differentiation (GO:0042492)	6	2	.01	+	 > 100	1.12E-04	3.43E-03
cardiac vascular smooth muscle cell differentiation (GO:0060947)	6	2	.01	+	 > 100	1.12E-04	3.42E-03
regulation of somitogenesis (GO:0014807)	6	2	.01	+	 > 100	1.12E-04	3.41E-03
fungiform papilla development (GO:0061196)	6	2	.01	+	 > 100	1.12E-04	3.41E-03
endocardium morphogenesis (GO:0003160)	6	2	.01	+	 > 100	1.12E-04	3.40E-03
dorsal aorta development (GO:0035907)	10	3	.02	+	 > 100	2.21E-06	1.09E-04
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	10	3	.02	+	 > 100	2.21E-06	1.09E-04
negative regulation of cardiac muscle cell differentiation (GO:2000726)	7	2	.01	+	 > 100	1.44E-04	4.25E-03
pulmonary artery morphogenesis (GO:0061156)	7	2	.01	+	 > 100	1.44E-04	4.24E-03
negative regulation of cardiocyte differentiation (GO:1905208)	11	3	.02	+	 > 100	2.81E-06	1.36E-04
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	15	4	.03	+	 > 100	5.62E-08	4.22E-06
midbrain dopaminergic neuron differentiation (GO:1904948)	12	3	.02	+	 > 100	3.51E-06	1.67E-04
positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	8	2	.02	+	 > 100	1.80E-04	5.22E-03
endothelial cell fate commitment (GO:0060839)	8	2	.02	+	 > 100	1.80E-04	5.21E-03
epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	12	3	.02	+	 > 100	3.51E-06	1.67E-04
atrioventricular node development (GO:0003162)	8	2	.02	+	 > 100	1.80E-04	5.20E-03
pulmonary valve development (GO:0003177)	21	5	.04	+	 > 100	1.74E-09	1.80E-07
pulmonary valve morphogenesis (GO:0003184)	17	4	.03	+	 > 100	8.66E-08	6.22E-06
heart valve formation (GO:0003188)	13	3	.03	+	 > 100	4.31E-06	2.02E-04
amyloid-beta formation (GO:0034205)	9	2	.02	+	 > 100	2.20E-04	6.27E-03
negative regulation of endothelial cell differentiation (GO:0045602)	9	2	.02	+	 > 100	2.20E-04	6.26E-03
regulation of cell adhesion molecule production (GO:0060353)	9	2	.02	+	 > 100	2.20E-04	6.24E-03
regulation of gamma-delta T cell differentiation (GO:0045586)	9	2	.02	+	 > 100	2.20E-04	6.23E-03
positive regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000096)	9	2	.02	+	 > 100	2.20E-04	6.22E-03
regulation of cardiac epithelial to mesenchymal transition (GO:0062042)	9	2	.02	+	 > 100	2.20E-04	6.21E-03
regulation of Wnt signaling pathway involved in heart development (GO:0003307)	9	2	.02	+	 > 100	2.20E-04	6.20E-03
regulation of secondary heart field cardioblast proliferation (GO:0003266)	9	2	.02	+	 > 100	2.20E-04	6.19E-03
cell surface receptor signaling pathway involved in heart development (GO:0061311)	23	5	.05	+	 > 100	2.59E-09	2.57E-07
ventricular trabecula myocardium morphogenesis (GO:0003222)	14	3	.03	+	 > 100	5.23E-06	2.42E-04
foregut morphogenesis (GO:0007440)	10	2	.02	+	98.04	2.64E-04	7.32E-03
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	10	2	.02	+	98.04	2.64E-04	7.31E-03
tongue morphogenesis (GO:0043587)	10	2	.02	+	98.04	2.64E-04	7.30E-03
regulation of dopaminergic neuron differentiation (GO:1904338)	10	2	.02	+	98.04	2.64E-04	7.29E-03
regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	10	2	.02	+	98.04	2.64E-04	7.27E-03
regulation of cardioblast proliferation (GO:0003264)	10	2	.02	+	98.04	2.64E-04	7.26E-03
cardiac left ventricle morphogenesis (GO:0003214)	15	3	.03	+	98.04	6.27E-06	2.84E-04
regulation of cardiac muscle cell differentiation (GO:2000725)	16	3	.03	+	91.92	7.43E-06	3.29E-04
amyloid precursor protein catabolic process (GO:0042987)	16	3	.03	+	91.92	7.43E-06	3.28E-04
apoptotic process involved in morphogenesis (GO:0060561)	16	3	.03	+	91.92	7.43E-06	3.27E-04
positive regulation of endothelial cell differentiation (GO:0045603)	11	2	.02	+	89.13	3.11E-04	8.36E-03
loop of Henle development (GO:0072070)	11	2	.02	+	89.13	3.11E-04	8.35E-03
dorsal/ventral axis specification (GO:0009950)	11	2	.02	+	89.13	3.11E-04	8.33E-03
keratinocyte proliferation (GO:0043616)	11	2	.02	+	89.13	3.11E-04	8.32E-03
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	11	2	.02	+	89.13	3.11E-04	8.31E-03
regulation of gamma-delta T cell activation (GO:0046643)	11	2	.02	+	89.13	3.11E-04	8.29E-03
epithelial cell differentiation involved in prostate gland development (GO:0060742)	11	2	.02	+	89.13	3.11E-04	8.28E-03
vascular associated smooth muscle cell development (GO:0097084)	11	2	.02	+	89.13	3.11E-04	8.26E-03
secondary heart field specification (GO:0003139)	11	2	.02	+	89.13	3.11E-04	8.25E-03
epithelial cell fate commitment (GO:0072148)	12	2	.02	+	81.70	3.63E-04	9.45E-03
ectodermal placode morphogenesis (GO:0071697)	12	2	.02	+	81.70	3.63E-04	9.44E-03
distal tubule development (GO:0072017)	12	2	.02	+	81.70	3.63E-04	9.42E-03
regulation of cell proliferation involved in heart morphogenesis (GO:2000136)	18	3	.04	+	81.70	1.02E-05	4.39E-04
negative regulation of oligodendrocyte differentiation (GO:0048715)	12	2	.02	+	81.70	3.63E-04	9.41E-03
planar cell polarity pathway involved in neural tube closure (GO:0090179)	12	2	.02	+	81.70	3.63E-04	9.39E-03
ectodermal placode formation (GO:0060788)	12	2	.02	+	81.70	3.63E-04	9.37E-03
endocardium development (GO:0003157)	12	2	.02	+	81.70	3.63E-04	9.36E-03
heart field specification (GO:0003128)	12	2	.02	+	81.70	3.63E-04	9.34E-03
cardiac right ventricle morphogenesis (GO:0003215)	19	3	.04	+	77.40	1.18E-05	4.94E-04
ectodermal placode development (GO:0071696)	13	2	.03	+	75.42	4.18E-04	1.06E-02
regulation of non-canonical Wnt signaling pathway (GO:2000050)	26	4	.05	+	75.42	3.91E-07	2.36E-05
endothelial tube morphogenesis (GO:0061154)	13	2	.03	+	75.42	4.18E-04	1.06E-02
morphogenesis of an endothelium (GO:0003159)	13	2	.03	+	75.42	4.18E-04	1.06E-02
negative regulation of oxidative stress-induced neuron death (GO:1903204)	20	3	.04	+	73.53	1.35E-05	5.57E-04
tongue development (GO:0043586)	20	3	.04	+	73.53	1.35E-05	5.56E-04
labyrinthine layer blood vessel development (GO:0060716)	20	3	.04	+	73.53	1.35E-05	5.54E-04
cardiac epithelial to mesenchymal transition (GO:0060317)	27	4	.06	+	72.62	4.48E-07	2.67E-05
negative regulation of epidermis development (GO:0045683)	14	2	.03	+	70.03	4.77E-04	1.18E-02
negative regulation of epidermal cell differentiation (GO:0045605)	14	2	.03	+	70.03	4.77E-04	1.18E-02
heart trabecula formation (GO:0060347)	14	2	.03	+	70.03	4.77E-04	1.18E-02
membrane protein ectodomain proteolysis (GO:0006509)	21	3	.04	+	70.03	1.54E-05	6.19E-04
left/right axis specification (GO:0070986)	14	2	.03	+	70.03	4.77E-04	1.17E-02
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	14	2	.03	+	70.03	4.77E-04	1.17E-02
regulation of cardiocyte differentiation (GO:1905207)	28	4	.06	+	70.03	5.12E-07	3.00E-05
neuroblast division (GO:0055057)	14	2	.03	+	70.03	4.77E-04	1.17E-02
negative regulation of myotube differentiation (GO:0010832)	14	2	.03	+	70.03	4.77E-04	1.17E-02
canonical Wnt signaling pathway (GO:0060070)	86	12	.18	+	68.40	6.47E-19	1.13E-15
cell fate determination (GO:0001709)	43	6	.09	+	68.40	6.43E-10	7.46E-08
aortic valve development (GO:0003176)	37	5	.08	+	66.25	2.20E-08	1.80E-06
collecting duct development (GO:0072044)	15	2	.03	+	65.36	5.40E-04	1.32E-02
negative regulation of cell migration involved in sprouting angiogenesis (GO:0090051)	15	2	.03	+	65.36	5.40E-04	1.31E-02
aorta morphogenesis (GO:0035909)	30	4	.06	+	65.36	6.58E-07	3.78E-05
negative regulation of miRNA-mediated gene silencing (GO:0060965)	15	2	.03	+	65.36	5.40E-04	1.31E-02
positive regulation of cardiac muscle cell proliferation (GO:0060045)	23	3	.05	+	63.94	1.97E-05	7.81E-04
amyloid precursor protein metabolic process (GO:0042982)	23	3	.05	+	63.94	1.97E-05	7.79E-04
neuronal stem cell population maintenance (GO:0097150)	23	3	.05	+	63.94	1.97E-05	7.77E-04
endocardial cushion formation (GO:0003272)	23	3	.05	+	63.94	1.97E-05	7.75E-04
ventricular septum morphogenesis (GO:0060412)	40	5	.08	+	61.28	3.14E-08	2.43E-06
negative regulation of post-transcriptional gene silencing (GO:0060149)	16	2	.03	+	61.28	6.06E-04	1.45E-02
embryonic brain development (GO:1990403)	16	2	.03	+	61.28	6.06E-04	1.45E-02
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	16	2	.03	+	61.28	6.06E-04	1.44E-02
vascular associated smooth muscle cell differentiation (GO:0035886)	16	2	.03	+	61.28	6.06E-04	1.44E-02
negative regulation of post-transcriptional gene silencing by RNA (GO:1900369)	16	2	.03	+	61.28	6.06E-04	1.44E-02
negative regulation of gene silencing by RNA (GO:0060967)	16	2	.03	+	61.28	6.06E-04	1.44E-02
heart formation (GO:0060914)	16	2	.03	+	61.28	6.06E-04	1.44E-02
heart trabecula morphogenesis (GO:0061384)	32	4	.07	+	61.28	8.33E-07	4.73E-05
atrioventricular valve morphogenesis (GO:0003181)	24	3	.05	+	61.28	2.22E-05	8.60E-04
aortic valve morphogenesis (GO:0003180)	32	4	.07	+	61.28	8.33E-07	4.72E-05
semi-lunar valve development (GO:1905314)	41	5	.08	+	59.78	3.52E-08	2.71E-06
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522)	25	3	.05	+	58.83	2.48E-05	9.41E-04
positive regulation of epithelial to mesenchymal transition (GO:0010718)	50	6	.10	+	58.83	1.48E-09	1.55E-07
segment specification (GO:0007379)	17	2	.03	+	57.67	6.77E-04	1.59E-02
regulation of vasculogenesis (GO:2001212)	17	2	.03	+	57.67	6.77E-04	1.59E-02
negative regulation of cell division (GO:0051782)	17	2	.03	+	57.67	6.77E-04	1.59E-02
negative regulation of striated muscle cell differentiation (GO:0051154)	34	4	.07	+	57.67	1.04E-06	5.73E-05
gamma-delta T cell activation (GO:0046629)	17	2	.03	+	57.67	6.77E-04	1.58E-02
branching involved in ureteric bud morphogenesis (GO:0001658)	43	5	.09	+	57.00	4.39E-08	3.34E-06
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	26	3	.05	+	56.56	2.76E-05	1.03E-03
secondary palate development (GO:0062009)	26	3	.05	+	56.56	2.76E-05	1.03E-03
T cell differentiation in thymus (GO:0033077)	53	6	.11	+	55.50	2.04E-09	2.09E-07
atrioventricular valve development (GO:0003171)	27	3	.06	+	54.47	3.07E-05	1.14E-03
trachea development (GO:0060438)	18	2	.04	+	54.47	7.51E-04	1.73E-02
regulation of endothelial cell differentiation (GO:0045601)	36	4	.07	+	54.47	1.29E-06	6.74E-05
specification of animal organ identity (GO:0010092)	18	2	.04	+	54.47	7.51E-04	1.73E-02
nephron tubule formation (GO:0072079)	18	2	.04	+	54.47	7.51E-04	1.72E-02
V(D)J recombination (GO:0033151)	18	2	.04	+	54.47	7.51E-04	1.72E-02
negative regulation of epithelial cell differentiation (GO:0030857)	45	5	.09	+	54.47	5.41E-08	4.08E-06
inner ear auditory receptor cell differentiation (GO:0042491)	36	4	.07	+	54.47	1.29E-06	6.72E-05
coronary vasculature morphogenesis (GO:0060977)	18	2	.04	+	54.47	7.51E-04	1.72E-02
endocardial cushion morphogenesis (GO:0003203)	36	4	.07	+	54.47	1.29E-06	6.69E-05
somitogenesis (GO:0001756)	64	7	.13	+	53.62	1.03E-10	1.52E-08
positive regulation of Notch signaling pathway (GO:0045747)	46	5	.09	+	53.28	5.99E-08	4.43E-06
endocardial cushion development (GO:0003197)	46	5	.09	+	53.28	5.99E-08	4.41E-06
smooth muscle cell differentiation (GO:0051145)	37	4	.08	+	53.00	1.42E-06	7.31E-05
cardiac conduction system development (GO:0003161)	37	4	.08	+	53.00	1.42E-06	7.28E-05
negative regulation of myoblast differentiation (GO:0045662)	28	3	.06	+	52.52	3.39E-05	1.24E-03
negative regulation of biomineral tissue development (GO:0070168)	28	3	.06	+	52.52	3.39E-05	1.24E-03
positive regulation of cardiac muscle tissue growth (GO:0055023)	28	3	.06	+	52.52	3.39E-05	1.24E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	28	3	.06	+	52.52	3.39E-05	1.23E-03
hair cell differentiation (GO:0035315)	47	5	.10	+	52.15	6.62E-08	4.80E-06
Notch signaling pathway (GO:0007219)	113	12	.23	+	52.06	1.35E-17	1.63E-14
amyloid-beta metabolic process (GO:0050435)	19	2	.04	+	51.60	8.29E-04	1.88E-02
negative regulation of biomineralization (GO:0110150)	29	3	.06	+	50.71	3.73E-05	1.35E-03
branching involved in blood vessel morphogenesis (GO:0001569)	29	3	.06	+	50.71	3.73E-05	1.35E-03
nephron tubule development (GO:0072080)	78	8	.16	+	50.28	6.87E-12	1.47E-09
cardiac septum morphogenesis (GO:0060411)	69	7	.14	+	49.73	1.69E-10	2.38E-08
regulation of oxidative stress-induced neuron death (GO:1903203)	30	3	.06	+	49.02	4.10E-05	1.43E-03
apoptotic process involved in development (GO:1902742)	30	3	.06	+	49.02	4.10E-05	1.43E-03
response to muramyl dipeptide (GO:0032495)	20	2	.04	+	49.02	9.11E-04	2.05E-02
somite development (GO:0061053)	81	8	.17	+	48.42	9.10E-12	1.88E-09
renal tubule development (GO:0061326)	82	8	.17	+	47.83	9.98E-12	1.98E-09
positive regulation of epidermis development (GO:0045684)	31	3	.06	+	47.44	4.49E-05	1.56E-03
dopaminergic neuron differentiation (GO:0071542)	31	3	.06	+	47.44	4.49E-05	1.55E-03
placenta blood vessel development (GO:0060674)	31	3	.06	+	47.44	4.49E-05	1.55E-03
mesenchyme morphogenesis (GO:0072132)	52	5	.11	+	47.14	1.06E-07	7.44E-06
lung cell differentiation (GO:0060479)	21	2	.04	+	46.69	9.96E-04	2.21E-02
negative regulation of transcription regulatory region DNA binding (GO:2000678)	21	2	.04	+	46.69	9.96E-04	2.21E-02
regulation of sister chromatid cohesion (GO:0007063)	21	2	.04	+	46.69	9.96E-04	2.20E-02
regulation of production of small RNA involved in gene silencing by RNA (GO:0070920)	21	2	.04	+	46.69	9.96E-04	2.20E-02
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	21	2	.04	+	46.69	9.96E-04	2.20E-02
positive regulation of skeletal muscle tissue development (GO:0048643)	21	2	.04	+	46.69	9.96E-04	2.19E-02
positive regulation of JUN kinase activity (GO:0043507)	42	4	.09	+	46.69	2.28E-06	1.11E-04
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	21	2	.04	+	46.69	9.96E-04	2.19E-02
ureteric bud morphogenesis (GO:0060675)	53	5	.11	+	46.25	1.16E-07	8.09E-06
positive regulation of heart growth (GO:0060421)	32	3	.07	+	45.96	4.91E-05	1.68E-03
mesonephric tubule morphogenesis (GO:0072171)	54	5	.11	+	45.39	1.26E-07	8.71E-06
epithelial to mesenchymal transition (GO:0001837)	77	7	.16	+	44.56	3.46E-10	4.51E-08
left/right pattern formation (GO:0060972)	22	2	.04	+	44.56	1.09E-03	2.37E-02
trabecula morphogenesis (GO:0061383)	45	4	.09	+	43.57	2.94E-06	1.42E-04
regulation of neuroblast proliferation (GO:1902692)	34	3	.07	+	43.25	5.81E-05	1.96E-03
endothelial cell differentiation (GO:0045446)	80	7	.16	+	42.89	4.44E-10	5.66E-08
trabecula formation (GO:0060343)	23	2	.05	+	42.63	1.18E-03	2.55E-02
negative regulation of stem cell differentiation (GO:2000737)	23	2	.05	+	42.63	1.18E-03	2.55E-02
negative regulation of muscle cell differentiation (GO:0051148)	58	5	.12	+	42.26	1.76E-07	1.17E-05
membrane protein proteolysis (GO:0033619)	35	3	.07	+	42.02	6.30E-05	2.07E-03
hindlimb morphogenesis (GO:0035137)	35	3	.07	+	42.02	6.30E-05	2.06E-03
labyrinthine layer development (GO:0060711)	47	4	.10	+	41.72	3.46E-06	1.65E-04
axis specification (GO:0009798)	95	8	.19	+	41.28	3.00E-11	5.06E-09
positive regulation of mesenchymal cell proliferation (GO:0002053)	24	2	.05	+	40.85	1.27E-03	2.75E-02
positive regulation of neuroblast proliferation (GO:0002052)	24	2	.05	+	40.85	1.27E-03	2.74E-02
endothelium development (GO:0003158)	96	8	.20	+	40.85	3.25E-11	5.30E-09
outflow tract morphogenesis (GO:0003151)	73	6	.15	+	40.29	1.22E-08	1.05E-06
animal organ formation (GO:0048645)	37	3	.08	+	39.75	7.35E-05	2.38E-03
negative regulation of ossification (GO:0030279)	37	3	.08	+	39.75	7.35E-05	2.37E-03
neuron fate commitment (GO:0048663)	62	5	.13	+	39.53	2.41E-07	1.55E-05
negative regulation of glial cell differentiation (GO:0045686)	25	2	.05	+	39.22	1.37E-03	2.95E-02
positive regulation of glycoprotein biosynthetic process (GO:0010560)	25	2	.05	+	39.22	1.37E-03	2.95E-02
nephron epithelium development (GO:0072009)	101	8	.21	+	38.83	4.76E-11	7.45E-09
negative regulation of Notch signaling pathway (GO:0045746)	38	3	.08	+	38.70	7.92E-05	2.53E-03
regulation of cardiac muscle cell proliferation (GO:0060043)	38	3	.08	+	38.70	7.92E-05	2.53E-03
morphogenesis of an epithelial sheet (GO:0002011)	51	4	.10	+	38.45	4.69E-06	2.18E-04
segmentation (GO:0035282)	102	8	.21	+	38.45	5.12E-11	7.87E-09
regulation of epidermis development (GO:0045682)	64	5	.13	+	38.30	2.79E-07	1.73E-05
nephron tubule morphogenesis (GO:0072078)	64	5	.13	+	38.30	2.79E-07	1.72E-05
positive regulation of epidermal cell differentiation (GO:0045606)	26	2	.05	+	37.71	1.48E-03	3.17E-02
regulation of glial cell proliferation (GO:0060251)	26	2	.05	+	37.71	1.48E-03	3.16E-02
positive regulation of muscle tissue development (GO:1901863)	26	2	.05	+	37.71	1.48E-03	3.16E-02
developmental induction (GO:0031128)	26	2	.05	+	37.71	1.48E-03	3.15E-02
regulation of cell fate specification (GO:0042659)	26	2	.05	+	37.71	1.48E-03	3.15E-02
heart valve development (GO:0003170)	65	5	.13	+	37.71	3.00E-07	1.84E-05
nephron epithelium morphogenesis (GO:0072088)	66	5	.13	+	37.14	3.22E-07	1.97E-05
cardiac septum development (GO:0003279)	106	8	.22	+	37.00	6.84E-11	1.03E-08
artery morphogenesis (GO:0048844)	67	5	.14	+	36.58	3.46E-07	2.11E-05
positive regulation of glycoprotein metabolic process (GO:1903020)	27	2	.06	+	36.31	1.59E-03	3.36E-02
negative regulation of DNA binding (GO:0043392)	54	4	.11	+	36.31	5.81E-06	2.66E-04
cardiac muscle hypertrophy (GO:0003300)	27	2	.06	+	36.31	1.59E-03	3.35E-02
regulation of animal organ formation (GO:0003156)	27	2	.06	+	36.31	1.59E-03	3.35E-02
regulation of Notch signaling pathway (GO:0008593)	95	7	.19	+	36.12	1.37E-09	1.46E-07
nephron morphogenesis (GO:0072028)	68	5	.14	+	36.05	3.71E-07	2.25E-05
renal tubule morphogenesis (GO:0061333)	68	5	.14	+	36.05	3.71E-07	2.24E-05
regulation of oligodendrocyte differentiation (GO:0048713)	41	3	.08	+	35.87	9.80E-05	3.05E-03
heart valve morphogenesis (GO:0003179)	55	4	.11	+	35.65	6.22E-06	2.83E-04
regulation of striated muscle cell differentiation (GO:0051153)	83	6	.17	+	35.44	2.52E-08	2.00E-06
myoblast differentiation (GO:0045445)	28	2	.06	+	35.02	1.70E-03	3.57E-02
regulation of skeletal muscle tissue development (GO:0048641)	28	2	.06	+	35.02	1.70E-03	3.56E-02
aorta development (GO:0035904)	56	4	.11	+	35.02	6.66E-06	3.00E-04
negative regulation of BMP signaling pathway (GO:0030514)	56	4	.11	+	35.02	6.66E-06	2.99E-04
regulation of myotube differentiation (GO:0010830)	42	3	.09	+	35.02	1.05E-04	3.24E-03
embryonic hindlimb morphogenesis (GO:0035116)	28	2	.06	+	35.02	1.70E-03	3.56E-02
striated muscle hypertrophy (GO:0014897)	28	2	.06	+	35.02	1.70E-03	3.55E-02
skin epidermis development (GO:0098773)	85	6	.17	+	34.60	2.88E-08	2.23E-06
cardiac ventricle morphogenesis (GO:0003208)	71	5	.14	+	34.52	4.54E-07	2.69E-05
regulation of epidermal cell differentiation (GO:0045604)	57	4	.12	+	34.40	7.12E-06	3.17E-04
positive regulation of organ growth (GO:0046622)	43	3	.09	+	34.20	1.12E-04	3.44E-03
ventricular septum development (GO:0003281)	72	5	.15	+	34.04	4.85E-07	2.86E-05
cellular response to interleukin-4 (GO:0071353)	29	2	.06	+	33.81	1.81E-03	3.77E-02
cardiac atrium morphogenesis (GO:0003209)	29	2	.06	+	33.81	1.81E-03	3.77E-02
prostate gland development (GO:0030850)	44	3	.09	+	33.42	1.20E-04	3.61E-03
regulation of JUN kinase activity (GO:0043506)	59	4	.12	+	33.23	8.10E-06	3.53E-04
neuroblast proliferation (GO:0007405)	30	2	.06	+	32.68	1.93E-03	3.99E-02
negative regulation of fibroblast proliferation (GO:0048147)	30	2	.06	+	32.68	1.93E-03	3.99E-02
liver regeneration (GO:0097421)	30	2	.06	+	32.68	1.93E-03	3.98E-02
response to gonadotropin (GO:0034698)	30	2	.06	+	32.68	1.93E-03	3.98E-02
